id,title,category
30431633,Political myth,social_politics_culture
12537045,Sums of powers,science_math_number
3145530,Three-stratum theory,social_psychology_congnitive
1122242,Dedekind sum,science_math_number
7578809,Version space learning,science_cs_ml
6555463,International Conference on Logic Programming,science_cs_pl
52912829,Ring (programming language),science_cs_pl
98628,Magma (computer algebra system),science_cs_pl
50828755,Timeline of machine learning,science_cs_ml
18716923,Algebra,science_math_algebra
46394651,Free presentation,science_math_algebra
59156461,Swelling index,science_physics_mechanics
26894340,Curvilinear disparity,social_politics_theory
221536,Right-hand rule,science_physics_mechanics
1081047,Polyarchy,social_politics_theory
2498943,Roboto,science_cs_os
29732232,Bancroft point,science_physics_thermodynamics
46924613,OS X El Capitan,science_cs_os
14331851,Boundedly generated group,science_math_algebra
49197559,Galilean electromagnetism,science_physics_elemag
51256,Public choice,social_politics_theory
992656,OSType,science_cs_os
38377740,Garett Jones,social_econ_macroecon
21722477,Tory corporatism,social_politics_culture
3270043,Electric power,science_physics_elemag
34180753,Variable-mass system,science_physics_mechanics
29878386,Patricia Barchas,social_psychology_behavior
20467381,Overchoice,social_psychology_congnitive
542377,Neuroscience of religion,social_psychology_behavior
6660329,Neuropsychoanalysis,social_psychology_congnitive
30537795,Skew binary number system,science_math_number
34658270,Reconstructive memory,social_psychology_congnitive
37007801,Cognitivism (aesthetics),social_psychology_congnitive
16066580,Tarski's plank problem,science_math_geometry
23000,Polynomial,science_math_algebra
48917358,Theory of narrative thought,social_psychology_congnitive
191336,Virtual economy,social_econ_macroecon
52336768,Southwell plot,science_physics_mechanics
20914085,Non-credible threat,social_econ_microecon
41004,DBrn,science_physics_mechanics
19508488,European Brain and Behaviour Society,social_psychology_behavior
765430,Social liberalism,social_politics_culture
52430999,Hundred Fowls Problem,science_math_number
1894631,External sector,social_econ_macroecon
55870791,Functional accounts of emotion,social_psychology_socialpyschology
1718317,Lorenz gauge condition,science_physics_elemag
491964,Cat's cradle,science_math_geometry
15181,Individualism,social_politics_culture
45199,Inverse element,science_math_algebra
7119900,Hall's conjecture,science_math_number
43537390,Euro Currency Index,social_econ_macroecon
30511485,Zelder paradox,social_econ_microecon
27280274,Boundary problem in geography,science_math_geometry
26266972,History of Haiku (operating system),science_cs_os
11730351,LSE (programming language),science_cs_pl
57379245,Incel,social_psychology_socialpyschology
21985449,Proactive learning,science_cs_ml
20794615,Boot File System,science_cs_os
4288250,Fabrik (software),science_cs_pl
1822395,Thermodynamic versus kinetic reaction control,science_physics_thermodynamics
21347657,Authoritarianism,social_politics_culture
70097,Compiler-compiler,science_cs_pl
8673754,List of second moments of area,science_physics_mechanics
31877832,Ball tree,science_cs_ml
14578984,Frigorific mixture,science_physics_thermodynamics
21941512,Online participation,social_psychology_socialpyschology
10685654,Second sound,science_physics_thermodynamics
565742,Symbolic method,science_math_algebra
48444540,Biconcave disc,science_math_geometry
470314,Instantaneously trained neural networks,science_cs_ml
52893764,Purism (Company),science_cs_os
3114084,Cognitive poetics,social_psychology_congnitive
24112931,Proprietary community,social_politics_theory
24356530,Perfect digit-to-digit invariant,science_math_number
15798971,Lattice plane,science_math_geometry
27197116,Therapeutic governance,social_psychology_socialpyschology
1539548,Reversible computing,science_physics_thermodynamics
4813235,Ewald summation,science_physics_elemag
3094621,Charge conservation,science_physics_elemag
48819,Clash of Civilizations,social_politics_theory
37252648,Moderne Algebra,science_math_algebra
32671041,T-matrix method,science_physics_elemag
31125934,SHIRPA,social_psychology_behavior
304139,Local coordinates,science_math_geometry
48584668,Christiane Linster,social_psychology_behavior
1096446,Consent of the governed,social_politics_theory
349676,Electrophoresis,science_physics_elemag
3281057,Thermodynamic instruments,science_physics_thermodynamics
19355742,Reward dependence,social_psychology_behavior
5008963,Inauthentic text,science_cs_ml
22347001,Biological psychopathology,social_psychology_behavior
230488,Minkowski space,science_math_geometry
2256295,Coincidence of wants,social_econ_macroecon
5217332,Spatial empathy,social_psychology_socialpyschology
32329761,Analytica (software),science_cs_pl
11128472,MNOS (operating system),science_cs_os
12683145,Elastic instability,science_physics_mechanics
7735427,E-function,science_math_number
46622063,Representative bureaucracy,social_politics_theory
22315,Oligarchy,social_politics_culture
35623959,European Association of Social Psychology,social_psychology_socialpyschology
1168317,Mirror neuron,social_psychology_behavior
32568832,Net economic welfare,social_econ_microecon
16641098,Moving-boundary electrophoresis,science_physics_elemag
7169432,Two-sided market,social_econ_microecon
1750677,Durable good,social_econ_microecon
8295240,Nord Programming Language,science_cs_pl
21312310,Remember versus know judgements,social_psychology_congnitive
12248555,Social salience,social_psychology_socialpyschology
2878895,Edward Evarts,social_psychology_behavior
37123,Theories of political behavior,social_politics_theory
7866648,Socio-analysis,social_psychology_socialpyschology
38870173,Feature learning,science_cs_ml
39174052,Social Progress Index,social_econ_macroecon
11996151,Sympathetic cooling,science_physics_thermodynamics
7523925,Conjugate (square roots),science_math_algebra
18395149,OpenEZX,science_cs_os
9275274,Small but significant and non-transitory increase in price,social_econ_microecon
33890474,Leave-one-out error,science_cs_ml
899874,F-Script (programming language),science_cs_pl
542526,Flat map,science_math_geometry
17286936,Counterfactual thinking,social_psychology_congnitive
25490326,Parochial political culture,social_politics_culture
604798,Joule heating,science_physics_thermodynamics
23474781,Lexico,science_cs_pl
52448137,Twisted sheaf,science_math_geometry
40797969,Circle-throw vibrating machine,science_physics_mechanics
2060183,Barnes G-function,science_math_number
6117987,Non-property system,social_econ_macroecon
3226068,Proth number,science_math_number
4207234,Dehn plane,science_math_geometry
8823039,Dispositional attribution,social_psychology_socialpyschology
11319263,Field magnet,science_physics_elemag
3934050,Olivier Blanchard,social_econ_macroecon
18420309,StartUp-Manager,science_cs_os
35574895,Oriented Point Relation Algebra,science_math_algebra
32891631,Country Party (Britain),social_politics_culture
4295537,Wage share,social_econ_microecon
3728109,Variable (mathematics),science_math_algebra
323090,Centralisation,social_politics_culture
20270864,Environmental enrichment,social_psychology_behavior
2510472,Hal Varian,social_econ_microecon
4917315,Duhamel's integral,science_physics_mechanics
65668,Mixed economy,social_econ_microecon
1318037,Screw theory,science_physics_mechanics
57841422,Appen (company),science_cs_ml
1005384,Martin Feldstein,social_econ_macroecon
7374348,General maximum,social_econ_macroecon
313845,Formal concept analysis,science_cs_ml
2179980,The Power Elite,social_politics_theory
26447770,Cognitive polyphasia,social_psychology_congnitive
1183635,Political culture,social_politics_culture
1303236,Asynchronous System Trap,science_cs_os
4174952,Bequest motive,social_econ_microecon
19593167,Heat,science_physics_thermodynamics
84400,Zero-point energy,science_physics_thermodynamics
397917,Propaganda model,social_politics_theory
54316,List of mathematical functions,science_math_number
55040125,Zilch (electromagnetism),science_physics_elemag
33390815,Principle of least interest,social_psychology_socialpyschology
